CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE    MAXMHZ   MINMHZ       MHZ
  0    0      0    0 0:0:0:0          yes 5200.0000 400.0000 3100.6211
  1    0      0    0 0:0:0:0          yes 5200.0000 400.0000  400.0000
  2    0      0    1 4:4:1:0          yes 5200.0000 400.0000  400.5700
  3    0      0    1 4:4:1:0          yes 5200.0000 400.0000  399.7460
  4    0      0    2 8:8:2:0          yes 5400.0000 400.0000  400.3230
  5    0      0    2 8:8:2:0          yes 5400.0000 400.0000 2780.5691
  6    -      -    - -                 no         -        -         -
  7    -      -    - -                 no         -        -         -
  8    0      0    3 16:16:4:0        yes 5200.0000 400.0000 1392.7340
  9    0      0    3 16:16:4:0        yes 5200.0000 400.0000 1991.0220
 10    0      0    4 20:20:5:0        yes 5200.0000 400.0000  400.7290
 11    0      0    4 20:20:5:0        yes 5200.0000 400.0000  400.0000
 12    0      0    5 24:24:6:0        yes 4100.0000 400.0000  398.8370
 13    0      0    6 25:25:6:0        yes 4100.0000 400.0000 3899.7219
 14    0      0    7 26:26:6:0        yes 4100.0000 400.0000  400.3140
 15    0      0    8 27:27:6:0        yes 4100.0000 400.0000  399.5090
 16    0      0    9 28:28:7:0        yes 4100.0000 400.0000 3899.9680
 17    0      0   10 29:29:7:0        yes 4100.0000 400.0000 3869.6421
 18    0      0   11 30:30:7:0        yes 4100.0000 400.0000 3902.0000
 19    0      0   12 31:31:7:0        yes 4100.0000 400.0000 3904.0171
